run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T085537Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,False,,,,,1.0,0,3,0,1.0,0.0,43743,0.0,94,0,1.0
20260409T085540Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,False,,,,,1.0,0,5,0,1.0,0.0,2617,0.0,105,0,1.0
20260409T085541Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,False,,,,,1.0,0,4,0,1.0,0.0,1181,0.0,163,0,1.0
20260409T085543Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,False,,,,,1.0,0,7,0,1.0,0.0,1566,0.0,100,0,1.0
20260409T085544Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,False,,,,,1.0,0,3,0,1.0,0.0,1028,0.0,138,0,1.0
20260409T085548Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,False,,,,,1.0,0,6,0,1.0,0.0,3678,0.0,376,0,1.0
20260409T085552Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,False,,,,,1.0,0,4,0,1.0,0.0,4149,0.0,373,0,1.0
20260409T085553Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,False,,,,,1.0,0,5,0,1.0,0.0,1161,0.0,108,0,1.0
20260409T085555Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,False,,,,,1.0,0,8,0,1.0,0.0,1707,0.0,131,0,1.0
20260409T085556Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,False,,,,,1.0,0,6,0,1.0,0.0,1069,0.0,105,0,1.0
