run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T072346Z_monolith_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,83,0,,0.0,0.625,22612,0.0,518,1.0,1,0.0,1.0
20260409T072348Z_monolith_tool_002_create_event_tool_002_create_event_clean,tool_002_create_event,tool_002_create_event_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,53,0,,0.0,0.625,2324,0.0,586,1.0,1,0.0,1.0
20260409T072350Z_monolith_tool_003_repo_lookup_tool_003_repo_lookup_clean,tool_003_repo_lookup,tool_003_repo_lookup_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,41,1,,0.0,0.9999999999999999,1947,0.0,481,1.0,1,1.0,1.0
20260409T072352Z_monolith_tool_004_repo_read_tool_004_repo_read_clean,tool_004_repo_read,tool_004_repo_read_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,34,0,,0.0,0.9999999999999999,1829,0.0,507,1.0,1,1.0,1.0
20260409T072355Z_monolith_tool_005_image_inspection_tool_005_image_inspection_clean,tool_005_image_inspection,tool_005_image_inspection_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,66,0,,0.0,0.37499999999999994,2803,1.0,503,0.0,1,0.0,1.0
20260409T072359Z_monolith_tool_006_budget_compare_call_tool_006_budget_compare_call_clean,tool_006_budget_compare_call,tool_006_budget_compare_call_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,80,0,,0.0,0.37499999999999994,3501,1.0,522,0.0,1,0.0,1.0
20260409T072402Z_monolith_tool_007_event_update_tool_007_event_update_clean,tool_007_event_update,tool_007_event_update_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,85,1,,0.0,0.25,3574,0.0,641,1.0,1,0.0,0.0
20260409T072406Z_monolith_tool_008_patch_record_tool_008_patch_record_clean,tool_008_patch_record,tool_008_patch_record_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,81,0,,0.0,0.9999999999999999,3752,0.0,529,1.0,1,1.0,1.0
20260409T072410Z_monolith_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,71,1,,0.0,0.9999999999999999,4054,0.0,656,1.0,2,1.0,1.0
20260409T072414Z_monolith_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,53,0,,0.0,0.625,3574,0.0,588,1.0,1,0.0,1.0
20260409T072437Z_modular_agent_001_budget_compare_agent_001_budget_compare_clean,agent_001_budget_compare,agent_001_budget_compare_clean,full_stack,modular,mlx,False,,,,,0.0,1.0,0,48,0,1.0,0.0,1.0,20479,0.0,207,1.0,2,0.0,1.0
20260409T072439Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,48,0,1.0,0.0,1.0,1921,0.0,356,1.0,2,1.0,1.0
20260409T072440Z_modular_agent_003_screenshot_patch_agent_003_screenshot_patch_clean,agent_003_screenshot_patch,agent_003_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,32,0,1.0,0.0,1.0,1115,0.0,179,1.0,2,1.0,1.0
20260409T072442Z_modular_agent_004_repo_lookup_patch_agent_004_repo_lookup_patch_clean,agent_004_repo_lookup_patch,agent_004_repo_lookup_patch_clean,full_stack,modular,mlx,False,,,,,0.0,1.0,0,48,0,1.0,0.0,1.0,1689,0.0,228,1.0,3,0.0,1.0
