run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,completion_tokens,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T065515Z_modular_agent_001_budget_compare_agent_001_budget_compare_clean,agent_001_budget_compare,agent_001_budget_compare_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,2,48,1.0,0.0,0.2,6576,1.0,58,0.0,2,0.0,0.0
20260409T065516Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,48,0.0,0.0,0.0,1423,1.0,65,0.0,2,0.0,0.0
20260409T065517Z_modular_agent_003_screenshot_patch_agent_003_screenshot_patch_clean,agent_003_screenshot_patch,agent_003_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,2,28,0.0,0.0,0.0,753,1.0,61,0.0,2,0.0,0.0
20260409T065518Z_modular_agent_004_repo_lookup_patch_agent_004_repo_lookup_patch_clean,agent_004_repo_lookup_patch,agent_004_repo_lookup_patch_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,3,31,0.0,0.0,0.0,761,1.0,67,0.0,3,0.0,0.0
20260409T065519Z_modular_agent_005_search_then_create_agent_005_search_then_create_clean,agent_005_search_then_create,agent_005_search_then_create_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,48,0.0,0.0,0.0,1214,1.0,63,0.0,2,0.0,0.0
20260409T065520Z_modular_agent_006_ops_budget_compare_agent_006_ops_budget_compare_clean,agent_006_ops_budget_compare,agent_006_ops_budget_compare_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,2,48,1.0,0.0,0.2,1128,1.0,59,0.0,2,0.0,0.0
20260409T065521Z_modular_agent_007_direct_repo_patch_agent_007_direct_repo_patch_clean,agent_007_direct_repo_patch,agent_007_direct_repo_patch_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,25,0.0,0.0,0.0,661,1.0,52,0.0,2,0.0,0.0
20260409T065522Z_modular_agent_008_billing_screenshot_patch_agent_008_billing_screenshot_patch_clean,agent_008_billing_screenshot_patch,agent_008_billing_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,22,0.0,0.0,0.0,568,1.0,52,0.0,2,0.0,0.0
20260409T065523Z_modular_agent_009_reschedule_vendor_agent_009_reschedule_vendor_clean,agent_009_reschedule_vendor,agent_009_reschedule_vendor_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,43,0.0,0.0,0.0,985,1.0,61,0.0,2,0.0,0.0
20260409T065523Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,3,21,0.0,0.0,0.0,622,1.0,73,0.0,3,0.0,0.0
